Metric,Female,Male,Percent Difference
Accuracy,0.7581699346405228,0.7556698620528408,0.33029552970438086
ROC-AUC Score,0.8413348626855037,0.8297744837580001,1.3835574496793637
Confusion Matrix TN,573.0,545.0,5.008944543828265
Confusion Matrix FP,91.0,92.0,-1.092896174863388
Confusion Matrix FN,871.0,953.0,-8.991228070175438
Confusion Matrix TP,2443.0,2687.0,-9.512670565302145
F1-Score (Macro),0.69,0.67,2.9411764705882217
F1-Score (Weighted),0.79,0.79,0.0
Importance of mobile,0.011689291101055765,0.008767827916764115,28.561824191830816
Importance STD of mobile,0.0019382560609553711,0.001087901811936571,56.200256875967995
Importance of social,0.16822523881347404,0.14734627075052611,13.23247975826127
Importance STD of social,0.003366650385677858,0.00480737160947055,-35.251219647997395
Importance of web,0.0,0.0,
Importance STD of web,0.0,0.0,
