k,cost,change_in_cost,percent_change,change_in_cost_acceleration
1,38654.0,,,
2,32332.0,-6322.0,-16.35535778962074,
3,29783.0,-2549.0,-7.883830261041691,8.471527528579049
4,27185.0,-2598.0,-8.723097068797635,-0.8392668077559442
5,26385.0,-800.0,-2.94279933787015,5.780297730927485
6,24909.0,-1476.0,-5.5940875497441755,-2.6512882118740255
7,24368.0,-541.0,-2.1719057368822514,3.422181812861924
8,23907.0,-461.0,-1.8918253447143818,0.2800803921678696
9,23205.0,-702.0,-2.9363784665579096,-1.0445531218435278
10,22808.0,-397.0,-1.7108381814264217,1.2255402851314878
