customer_id,total_transactions,total_transaction_amount
79d9d4f86aca4bed9290350fb43817c2,36,173.41
8dbfa485249f409aa223a2130f40634a,36,76.46000000000001
94de646f7b6041228ca7dec82adb97d2,35,90.23
b1f4ece7d49342628a9ed77aee2cde58,32,133.02
5e60c6aa3b834e44b822ea43a3efea26,32,103.66
a42ed50acc4d4b25bca647c9e0b916ad,31,461.09000000000003
ab25fd6fbd5040f880751921e4029757,30,717.2099999999999
d0a80415b84c4df4908b8403b19765e3,30,260.69
40ce078d5b2a43d19138a788754520be,30,220.22
28681c16026943e68f26feaccab0907f,30,116.17
4142f5e23db741b1af4be0287dc91c1c,30,83.04
f87b27581615423f892a6ff0d40fa696,29,97.98
d087fd0166404163b7d1e1e7cf2a9ac7,29,92.98
f1feb0f84eb64f5a92cea6b0b90fbe72,29,87.58
6cd32ababc644c6c8a2644368c795728,29,78.92
0ebc3c4c39234ab6a2701fe2525705a9,29,70.5
074c30edf3194b0e9cebaf64256bcfe1,29,68.56
86e9d338b85b4177b369fe6b0ad4fed3,29,61.47
7eef6a95040a49e2aa8863beb943d381,28,497.98
bd2cdd691aca4bb0a0e039979ee5de5c,28,412.67
b99c01e940364ecdbef03dae24c6554b,28,136.43
42e511d82add46d4b0038ab71015f1b5,28,127.81
4e62bddf5aa24d75875216715b2d241c,28,110.67999999999999
1815f561a304441886c75af2aedbf6f9,28,88.64
81a263ee0b8544b6a8910ee690cc6edd,28,80.61
8964bdf23d544301846b95a02d27e45c,27,492.34000000000003
0d74b166a5e54b269795dbaf38c6dfae,27,100.21000000000001
8e7d398d4bd948e397e201ad2bd5cce8,27,94.85
f0a3a3c05e3c4e2e84929a49a6b5488c,27,92.37
cd9bac9e8aea4609929a55b9b468c88e,27,89.96
7be5dd52d7d540429299a9ee454774e7,27,89.75
a1af149c0dc24d33844c26ae85e643b9,27,87.29
5a2ee75088994187bed4cb8404acb54a,27,85.98
4b8e062fcfd447c2b68c8a183d96a4b4,27,81.25999999999999
ca265792e65949d79b2b0e91bdd31c57,27,76.3
ab4939d2f7a24601bc487a2c711879d3,27,66.39
9ae56116908640fc83477982da0aaec4,26,953.39
d237d3afa2cf4463a07e06b9a8fcba0c,26,400.87
bdcbab43c2f34ca2a6ae2251a27ff6a4,26,114.66
4891d061d63e492789b971c55d7b806c,26,111.52
d93aac1763804476bac97bbf6b76017f,26,107.35000000000001
127cd9d95e6247e5b92bff64d6205a94,26,105.58
edc7b04392144da9979f3077095f268a,26,89.99
668d781e8fe74af087c0f35490f12a67,26,87.24
041fd7c6b796430a867c4e03d2ff8f4d,26,87.13
e8f25bd0c79b4fbf8f021e1184332b89,26,84.98
1d755c218f714559a57ee7df7e6b1ca0,26,80.17
